==========================================================
PIC calculation (per-residue): NA
Job: 247   Node: mem-queue-multi-az-dy-r8i-32xl-4   Started: Tue Jul  7 12:48:45 PM EDT 2026
GRO: aav1/md_aav1_ph6/md.gro
XTC: aav1/md_aav1_ph6/md_whole.xtc
Radius: 30.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 64   CPUs/task: 1
12:49:27 [rank  17] INFO [excipient] 3633 atoms grouped into 3633 residues/molecules
12:49:27 [rank  24] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:49:27 [rank  24] INFO [excipient] 3633 atoms grouped into 3633 residues/molecules
12:49:27 [rank  14] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:27 [rank  42] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:49:27 [rank  27] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:27 [rank  37] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:49:27 [rank  37] INFO [excipient] 3633 atoms grouped into 3633 residues/molecules
12:49:27 [rank  60] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  29] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:27 [rank  29] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:27 [rank  38] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  56] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:49:27 [rank  17] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:49:27 [rank  24] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:49:27 [rank  14] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:27 [rank  14] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:27 [rank  27] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:27 [rank  27] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:27 [rank   1] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:27 [rank  37] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:49:27 [rank   3] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:49:27 [rank   3] INFO [excipient] 3633 atoms grouped into 3633 residues/molecules
12:49:27 [rank  36] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:49:27 [rank  36] INFO [excipient] 3633 atoms grouped into 3633 residues/molecules
12:49:27 [rank  49] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:27 [rank   0] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:27 [rank  40] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  33] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank   1] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:27 [rank   1] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:27 [rank   3] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:49:27 [rank   2] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  49] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:27 [rank  49] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:27 [rank   0] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:27 [rank   0] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:27 [rank  36] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:49:27 [rank  30] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:49:27 [rank  30] INFO [excipient] 3633 atoms grouped into 3633 residues/molecules
12:49:27 [rank  11] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  16] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  19] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  61] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  10] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  20] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  35] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  44] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  22] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:49:27 [rank  22] INFO [excipient] 3633 atoms grouped into 3633 residues/molecules
12:49:27 [rank  54] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  30] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:49:27 [rank  63] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:27 [rank   9] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:27 [rank  23] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:49:27 [rank  23] INFO [excipient] 3633 atoms grouped into 3633 residues/molecules
12:49:27 [rank  22] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:49:27 [rank  25] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:27 [rank  43] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  55] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  63] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:27 [rank  63] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:27 [rank   9] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
